Content,EventId,EventTemplate,Source
Reading broadcast variable 1 took 85 ms,E20,Reading broadcast variable <*> took <*> ms,Spark
"Block broadcast_1 stored as values in memory (estimated size 7.2 KB, free 12.5 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)",Spark
"Partition rdd_2_1 not found, computing it",E19,"Partition <*> not found, computing it",Spark
Input split: hdfs://192.168.1.100:8020/data/input/logfile1.log:10400+5120,E12,Input split: hdfs://<*>,Spark
"Times: total = 980, boot = 750, init = 210, finish = 20  ",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",Spark
Finished task 2.0 in stage 0.0 (TID 2). 1536 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark
File Output Committer Algorithm version is 2,E8,File Output Committer Algorithm version is <*>,Spark
Saved output of task 'attempt_202307151230_0001_m_000001_0456' to hdfs://10.0.0.1:9000/user/output/0/_temporary/0/task_202307151230_0001_m_000001,E25,Saved output of task '<*>' to hdfs://<*>,Spark
Notification time out: 145027445,E31,Notification time out: <*>,Zookeeper
"Connection broken for id 9473660, my id = 96375131, error =",E11,"Connection broken for id <*>, my id = <*>, error =",Zookeeper
Client attempting to establish new session at 421479766:928966340,E7,Client attempting to establish new session at <*>:<*>,Zookeeper
Established session 0xebcf25da49ef1d5b with negotiated timeout 10000 for client 177.232.228.134:6175,E13,Established session <*> with negotiated timeout <*> for client <*>:<*>,Zookeeper
Accepted socket connection from /182.209.166.216:57282,E2,Accepted socket connection from <*>:<*>,Zookeeper
Connection request from old client  /182.209.166.216:57282; will be dropped if server is in r-o mode,E12,Connection request from old client <*>:<*>; will be dropped if server is in r-o mode,Zookeeper
Cannot open channel to 4 at election address / /182.209.166.216:57282,E5,Cannot open channel to <*> at election address <*>:<*>,Zookeeper
Processed session termination for sessionid: 0xebcf25da49ef1d5b,E38,Processed session termination for sessionid: <*>,Zookeeper
"Expiring session 0xebcf25da49ef1d5b , timeout of 10000ms exceeded",E15,"Expiring session <*>, timeout of <*> exceeded",Zookeeper
My election bind port: 83.6.158.89/241.131.237.29:8930,E29,My election bind port: <*>/<*>:<*>,Zookeeper
"Have smaller server identifier, so dropping the connection: (3, 1)",E23,"Have smaller server identifier, so dropping the connection: (<*>, <*>)",Zookeeper
"New election. My id =  2, proposed zxid=0xebcf25da49ef1d5b",E30,"New election. My id = <*>, proposed zxid=<*>",Zookeeper
FOLLOWING - LEADER ELECTION TOOK - 53,E19,FOLLOWING - LEADER ELECTION TOOK - <*>,Zookeeper
Closed socket connection for client /177.232.228.134:6175 (no session established for client),E9,Closed socket connection for client <*>:<*> (no session established for client),Zookeeper
Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,E14,Exception causing close of session <*> due to java.io.IOException: ZooKeeperServer not running,Zookeeper
"Notification: 1 (n.leader), 0xb00000048(n.zxid), 0x2 (n.round), LOOKING (n.state), 2 (n.sid), 0xb (n.peerEPoch), LOOKING (my state)",E37,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",Zookeeper
Got user-level KeeperException when processing sessionid:0xebcf25da49ef1d5b type:create cxid:0x55b8bb0f zxid:0x100000010 txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,E21,Got user-level KeeperException when processing sessionid:<*> type:create cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:KeeperErrorCode = NodeExists for <*>,Zookeeper
autopurge.purgeInterval set to 0,E3,autopurge.purgeInterval set to <*>,Zookeeper
Follower sid: 4 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4,E17,Follower sid: <*> : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@<*>,Zookeeper
maxSessionTimeout set to -2,E27,maxSessionTimeout set to <*>,Zookeeper
Have quorum of supporters; starting up and setting last processed zxid: 0xb00000084,E22,Have quorum of supporters; starting up and setting last processed zxid: <*>,Zookeeper
"Notification: 1 (n.leader), 0xa0000009a (n.zxid), 0x1 (n.round), FOLLOWING (n.state), 1 (n.sid), 0xa (n.peerEPoch), LEADING (my state)",E33,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",Zookeeper
First is 0x1,E16,First is <*>,Zookeeper
"Notification: 1 (n.leader),  0xa0000009a (n.zxid), 0x3 (n.round), FOLLOWING (n.state), 2 (n.sid), 0x2 (n.peerEPoch), FOLLOWING (my state)",E32,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)",Zookeeper
